DATE,IRLTLT01USM156N
1/1/2013,1.91
2/1/2013,1.98
3/1/2013,1.96
4/1/2013,1.76
5/1/2013,1.93
6/1/2013,2.3
7/1/2013,2.58
8/1/2013,2.74
9/1/2013,2.81
10/1/2013,2.62
11/1/2013,2.72
12/1/2013,2.9
1/1/2014,2.86
2/1/2014,2.71
3/1/2014,2.72
4/1/2014,2.71
5/1/2014,2.56
6/1/2014,2.6
7/1/2014,2.54
8/1/2014,2.42
9/1/2014,2.53
10/1/2014,2.3
11/1/2014,2.33
12/1/2014,2.21
1/1/2015,1.88
2/1/2015,1.98
3/1/2015,2.04
4/1/2015,1.94
5/1/2015,2.2
6/1/2015,2.36
7/1/2015,2.32
8/1/2015,2.17
9/1/2015,2.17
10/1/2015,2.07
11/1/2015,2.26
12/1/2015,2.24
1/1/2016,2.09
2/1/2016,1.78
3/1/2016,1.89
4/1/2016,1.81
5/1/2016,1.81
6/1/2016,1.64
7/1/2016,1.5
8/1/2016,1.56
9/1/2016,1.63
10/1/2016,1.76
11/1/2016,2.14
12/1/2016,2.49
1/1/2017,2.43
2/1/2017,2.42
3/1/2017,2.48
4/1/2017,2.3
5/1/2017,2.3
6/1/2017,2.19
7/1/2017,2.32
8/1/2017,2.21
9/1/2017,2.2
10/1/2017,2.36
11/1/2017,2.35
12/1/2017,2.4
1/1/2018,2.58
2/1/2018,2.86
3/1/2018,2.84
4/1/2018,2.87
5/1/2018,2.98
6/1/2018,2.91
7/1/2018,2.89
8/1/2018,2.89
9/1/2018,3
10/1/2018,3.15
11/1/2018,3.12
12/1/2018,2.83
1/1/2019,2.71
2/1/2019,2.68
3/1/2019,2.57
4/1/2019,2.53
5/1/2019,2.4
6/1/2019,2.07
7/1/2019,2.06
8/1/2019,1.63
9/1/2019,1.7
10/1/2019,1.71
11/1/2019,1.81
12/1/2019,1.86
1/1/2020,1.76
2/1/2020,1.5
3/1/2020,0.87
4/1/2020,0.66
5/1/2020,0.67
6/1/2020,0.73
7/1/2020,0.62
8/1/2020,0.65
9/1/2020,0.68
10/1/2020,0.79
11/1/2020,0.87
12/1/2020,0.93
1/1/2021,1.08
2/1/2021,1.26
3/1/2021,1.61
