DATE,GDPC1
1/1/2013,16382.964
4/1/2013,16403.18
7/1/2013,16531.685
10/1/2013,16663.649
1/1/2014,16616.54
4/1/2014,16841.475
7/1/2014,17047.098
10/1/2014,17143.038
1/1/2015,17305.752
4/1/2015,17422.845
7/1/2015,17486.021
10/1/2015,17514.062
1/1/2016,17613.264
4/1/2016,17668.203
7/1/2016,17764.388
10/1/2016,17876.179
1/1/2017,17977.299
4/1/2017,18054.052
7/1/2017,18185.636
10/1/2017,18359.432
1/1/2018,18530.483
4/1/2018,18654.383
7/1/2018,18752.355
10/1/2018,18813.923
1/1/2019,18950.347
4/1/2019,19020.599
7/1/2019,19141.744
10/1/2019,19253.959
1/1/2020,19010.848
4/1/2020,17302.511
7/1/2020,18596.521
10/1/2020,18794.426
