Year,Month,Inflation
2013,JAN,0.0159
2013,FEB,0.0198
2013,MAR,0.0147
2013,APR,0.0106
2013,MAY,0.0136
2013,JUN,0.0175
2013,JUL,0.0196
2013,AUG,0.0152
2013,SEP,0.0118
2013,OCT,0.0096
2013,NOV,0.0124
2013,DEC,0.015
2014,JAN,0.0158
2014,FEB,0.0113
2014,MAR,0.0151
2014,APR,0.0195
2014,MAY,0.0213
2014,JUN,0.0207
2014,JUL,0.0199
2014,AUG,0.017
2014,SEP,0.0166
2014,OCT,0.0166
2014,NOV,0.0132
2014,DEC,0.0076
2015,JAN,-0.0009
2015,FEB,-0.0003
2015,MAR,-0.0007
2015,APR,-0.002
2015,MAY,-0.0004
2015,JUN,0.0012
2015,JUL,0.0017
2015,AUG,0.002
2015,SEP,-0.0004
2015,OCT,0.0017
2015,NOV,0.005
2015,DEC,0.0073
2016,JAN,0.0137
2016,FEB,0.0102
2016,MAR,0.0085
2016,APR,0.0113
2016,MAY,0.0102
2016,JUN,0.01
2016,JUL,0.0083
2016,AUG,0.0106
2016,SEP,0.0146
2016,OCT,0.0164
2016,NOV,0.0169
2016,DEC,0.0207
2017,JAN,0.025
2017,FEB,0.0274
2017,MAR,0.0238
2017,APR,0.022
2017,MAY,0.0187
2017,JUN,0.0163
2017,JUL,0.0173
2017,AUG,0.0194
2017,SEP,0.0223
2017,OCT,0.0204
2017,NOV,0.022
2017,DEC,0.0211
2018,JAN,0.0207
2018,FEB,0.0221
2018,MAR,0.0236
2018,APR,0.0246
2018,MAY,0.028
2018,JUN,0.0287
2018,JUL,0.0295
2018,AUG,0.027
2018,SEP,0.0228
2018,OCT,0.0252
2018,NOV,0.0218
2018,DEC,0.0191
2019,JAN,0.0155
2019,FEB,0.0152
2019,MAR,0.0186
2019,APR,0.02
2019,MAY,0.0179
2019,JUN,0.0165
2019,JUL,0.0181
2019,AUG,0.0175
2019,SEP,0.0171
2019,OCT,0.0176
2019,NOV,0.0205
2019,DEC,0.0229
2020,JAN,0.0249
2020,FEB,0.0233
2020,MAR,0.0154
2020,APR,0.0033
2020,MAY,0.0012
2020,JUN,0.0065
2020,JUL,0.0099
2020,AUG,0.0131
2020,SEP,0.0137
2020,OCT,0.0118
2020,NOV,0.0117
2020,DEC,0.0136
2021,JAN,0.014
2021,FEB,0.0168
2021,MAR,0.0262
