DATE,UNRATE
1/1/2013,8
2/1/2013,7.7
3/1/2013,7.5
4/1/2013,7.6
5/1/2013,7.5
6/1/2013,7.5
7/1/2013,7.3
8/1/2013,7.2
9/1/2013,7.2
10/1/2013,7.2
11/1/2013,6.9
12/1/2013,6.7
1/1/2014,6.6
2/1/2014,6.7
3/1/2014,6.7
4/1/2014,6.2
5/1/2014,6.3
6/1/2014,6.1
7/1/2014,6.2
8/1/2014,6.1
9/1/2014,5.9
10/1/2014,5.7
11/1/2014,5.8
12/1/2014,5.6
1/1/2015,5.7
2/1/2015,5.5
3/1/2015,5.4
4/1/2015,5.4
5/1/2015,5.6
6/1/2015,5.3
7/1/2015,5.2
8/1/2015,5.1
9/1/2015,5
10/1/2015,5
11/1/2015,5.1
12/1/2015,5
1/1/2016,4.8
2/1/2016,4.9
3/1/2016,5
4/1/2016,5.1
5/1/2016,4.8
6/1/2016,4.9
7/1/2016,4.8
8/1/2016,4.9
9/1/2016,5
10/1/2016,4.9
11/1/2016,4.7
12/1/2016,4.7
1/1/2017,4.7
2/1/2017,4.6
3/1/2017,4.4
4/1/2017,4.5
5/1/2017,4.4
6/1/2017,4.3
7/1/2017,4.3
8/1/2017,4.4
9/1/2017,4.2
10/1/2017,4.1
11/1/2017,4.2
12/1/2017,4.1
1/1/2018,4
2/1/2018,4.1
3/1/2018,4
4/1/2018,4
5/1/2018,3.8
6/1/2018,4
7/1/2018,3.8
8/1/2018,3.8
9/1/2018,3.7
10/1/2018,3.8
11/1/2018,3.8
12/1/2018,3.9
1/1/2019,4
2/1/2019,3.8
3/1/2019,3.8
4/1/2019,3.7
5/1/2019,3.7
6/1/2019,3.6
7/1/2019,3.6
8/1/2019,3.7
9/1/2019,3.5
10/1/2019,3.6
11/1/2019,3.6
12/1/2019,3.6
1/1/2020,3.5
2/1/2020,3.5
3/1/2020,4.4
4/1/2020,14.8
5/1/2020,13.3
6/1/2020,11.1
7/1/2020,10.2
8/1/2020,8.4
9/1/2020,7.8
10/1/2020,6.9
11/1/2020,6.7
12/1/2020,6.7
1/1/2021,6.3
2/1/2021,6.2
3/1/2021,6
